spectrum_identity,material
avicennite,mineral
avicennite__r070262__raman__532__0__unoriented__raman_data_processed__19776,mineral
avicennite__r070262__raman__785__0__unoriented__raman_data_processed__25721,mineral
avobenzone,other material
avogadrite,mineral
avogadrite__r110062__raman__532__0__unoriented__raman_data_processed__35386,mineral
avogadrite__r110062__raman__780__0__unoriented__raman_data_processed__35388,mineral
awaruite,mineral
awaruite__r070671__raman__532__0__unoriented__raman_data_processed__24154,mineral
axinite-(fe),mineral
axinite-(mg),mineral
axinite-(mn),mineral
axinitefe__r040074-1__infrared__infrared_data_processed__273,mineral
axinitefe__r040074__raman__532__0__unoriented__raman_data_processed__15540,mineral
axinitefe__r040074__raman__785__0__unoriented__raman_data_processed__15538,mineral
axinitefe__r050026-1__infrared__infrared_data_processed__274,mineral
axinitefe__r050026__raman__514__0__unoriented__raman_data_processed__9899,mineral
axinitefe__r050026__raman__532__0__unoriented__raman_data_processed__21063,mineral
axinitefe__r050026__raman__785__0__unoriented__raman_data_processed__21065,mineral
axinitefe__r050061-1__infrared__infrared_data_processed__275,mineral
axinitefe__r050061__raman__514__0__unoriented__raman_data_processed__9965,mineral
axinitefe__r050061__raman__532__0__unoriented__raman_data_processed__21222,mineral
axinitefe__r050061__raman__785__0__unoriented__raman_data_processed__21224,mineral
axinitefe__r060183__raman__532__0__unoriented__raman_data_processed__33208,mineral
axinitefe__r060183__raman__780__0__unoriented__raman_data_processed__33210,mineral
axinitefe__r060194__raman__532__0__unoriented__raman_data_processed__33269,mineral
axinitefe__r060194__raman__780__0__unoriented__raman_data_processed__33271,mineral
axinitefe__r060558__raman__532__0__unoriented__raman_data_processed__10414,mineral
axinitefe__r060558__raman__780__0__unoriented__raman_data_processed__38497,mineral
axinitemg__r070133__raman__532__0__unoriented__raman_data_processed__25094,mineral
axinitemg__r070133__raman__785__0__unoriented__raman_data_processed__18680,mineral
axinitemn__r050299-1__infrared__infrared_data_processed__1250,mineral
axinitemn__r050299__raman__514__0__unoriented__raman_data_processed__28726,mineral
axinitemn__r050299__raman__532__0__unoriented__raman_data_processed__28723,mineral
axinitemn__r050299__raman__780__0__unoriented__raman_data_processed__28725,mineral
axinitemn__r061121__raman__532__0__unoriented__raman_data_processed__16382,mineral
axinitemn__r061121__raman__785__0__unoriented__raman_data_processed__16384,mineral
azaperone (lot #f1f183),other material
azurite,mineral
azurite (blue) (wards),other material
azurite10200_532,other material
azurite;,other material
azurite__r050497-1__infrared__infrared_data_processed__1116,mineral
azurite__r050497-1__infrared__infrared_data_processed__892,mineral
azurite__r050497__raman__532__0__unoriented__raman_data_processed__31740,mineral
azurite__r050638-1__infrared__infrared_data_processed__219,mineral
azurite__r050638__raman__532__0__unoriented__raman_data_processed__32708,mineral
b ca li o3,mineral
b f4 k,mineral
b h3 o3,mineral
b h4 na,mineral
"b,b-dimercaptoethyl ether",other plastic
"b-gentiobiose (4 cm-1, 256, medium, 400 mw)",other material
b12 h19 k mg2 o30,mineral
b2 ba na4 o30 si10 ti2,mineral
b2 ca mg o5,mineral
b2 o3,mineral
b3 ca h13 o12,mineral
b3 h15 mg o13,mineral
b3 h4 na o7,mineral
b4 li4 o8,mineral
b5 h4 n o10,mineral
b5 h5 na2 o12,mineral
b6 la,mineral
ba be2 o7 si2,mineral
ba ca2 o9 si3,mineral
ba cr o4,mineral
ba h6 o30 u6,mineral
ba h8 o9 si2,mineral
ba n2 o6,mineral
ba o2,mineral
ba o3 ti,mineral
ba o4 s,mineral
ba o9 si3 ti,mineral
ba0.16 ca12.82 f h4.18 k6.94 mn0.18 na3.18 o92.59 si35 sr0.5,mineral
ba2.5 ca f4 fe6.1 h8 k1.2 mn9.4 na3 nb0.32 o72 si16 ti7.68 zr0.3,mineral
ba9.5 ca3.5 cl4 h12 o36 si8 ti,mineral
babingtonite,mineral
babingtonite__r060083-1__infrared__infrared_data_processed__1180,mineral
babingtonite__r060083__raman__532__0__unoriented__raman_data_processed__27588,mineral
babingtonite__r060083__raman__780__0__unoriented__raman_data_processed__27590,mineral
babingtonite__r060084-1__infrared__infrared_data_processed__1172,mineral
babingtonite__r060084__raman__532__0__unoriented__raman_data_processed__29486,mineral
babingtonite__r060084__raman__780__0__unoriented__raman_data_processed__27594,mineral
babingtonite__r060093-1__infrared__infrared_data_processed__1193,mineral
babingtonite__r060093__raman__532__0__unoriented__raman_data_processed__27634,mineral
babingtonite__r060093__raman__780__0__unoriented__raman_data_processed__27636,mineral
background subtracted background,other material
bacl_07_01_08,other material
baddeleyite,mineral
baddeleyite__r060016-1__infrared__infrared_data_processed__879,mineral
baddeleyite__r060016__raman__532__0__unoriented__raman_data_processed__26585,mineral
baddeleyite__r060016__raman__780__0__unoriented__raman_data_processed__26587,mineral
baddeleyite__r060078-1__infrared__infrared_data_processed__1183,mineral
baddeleyite__r060078__raman__532__0__unoriented__raman_data_processed__27550,mineral
baddeleyite__r060078__raman__780__0__unoriented__raman_data_processed__27552,mineral
baddeleyite__r100171__raman__532__0__unoriented__raman_data_processed__34709,mineral
baddeleyite__r100171__raman__780__0__unoriented__raman_data_processed__34707,mineral
bahianite,mineral
bahianite__r050627-1__infrared__infrared_data_processed__608,mineral
bahianite__r050627__raman__532__0__unoriented__raman_data_processed__32672,mineral
bahianite__r050627__raman__780__0__unoriented__raman_data_processed__32674,mineral
bahianite__r060433__raman__532__0__unoriented__raman_data_processed__34998,mineral
bahianite__r060433__raman__780__0__unoriented__raman_data_processed__35000,mineral
bairdite,mineral
bakerite,mineral
bakerite__r050423-1__infrared__infrared_data_processed__404,mineral
bakerite__r050423__raman__532__0__unoriented__raman_data_processed__30557,mineral
bakhchisaraitsevite,mineral
bakhchisaraitsevite__r060607__raman__532__0__unoriented__raman_data_processed__11089,mineral
bakhchisaraitsevite__r060607__raman__780__0__unoriented__raman_data_processed__38539,mineral
balangeroite,mineral
balangeroite__r060244__raman__532__0__unoriented__raman_data_processed__33935,mineral
balangeroite__r060244__raman__780__0__unoriented__raman_data_processed__33937,mineral
bandylite,mineral
bandylite__r060664__raman__532__0__unoriented__raman_data_processed__11328,mineral
bannisterite,mineral
bannisterite__r060817__raman__532__0__unoriented__raman_data_processed__12819,mineral
bannisterite__r060817__raman__785__0__unoriented__raman_data_processed__14677,mineral
baotite,mineral
baotite__r060251__raman__532__0__unoriented__raman_data_processed__33503,mineral
baotite__r060414__raman__532__0__unoriented__raman_data_processed__34877,mineral
baratovite__r070147__raman__532__0__unoriented__raman_data_processed__19259,mineral
barbital (lot #429050),other material
barbituric acid (lot #07021hu),other material
barbosalite,mineral
barbosalite__r070358__raman__532__0__unoriented__raman_data_processed__21411,mineral
barbosalite__r070358__raman__785__0__unoriented__raman_data_processed__21413,mineral
bariandite,mineral
bariandite__r060602__raman__532__0__unoriented__raman_data_processed__25574,mineral
baricite,mineral
baricite__r061045__raman__532__0__unoriented__raman_data_processed__14418,mineral
baricite__r061045__raman__785__0__unoriented__raman_data_processed__14416,mineral
bario-olgite,mineral
barioolgite__r060614__raman__532__0__unoriented__raman_data_processed__11083,mineral
barioperovskite,mineral
bariopharmacosiderite,mineral
bariopharmacosiderite__r060571__raman__785__0__unoriented__raman_data_processed__10309,mineral
barite,mineral
barite (wards),other material
barium nitrate (fluka),other material
barium yellow;,other material
bark (pine fresh),organic matter
bark (tamarisk modern timna israel),organic matter
bark/wood fossil (gesher benot yaakov),other material
barlowite,mineral
barnesite,mineral
barrerite,mineral
barrerite__r050135-1__infrared__infrared_data_processed__1084,mineral
barrerite__r050135-1__infrared__infrared_data_processed__767,mineral
barrerite__r050135__raman__514__0__unoriented__raman_data_processed__10138,mineral
barrerite__r050135__raman__532__0__unoriented__raman_data_processed__27324,mineral
barrerite__r050135__raman__780__0__unoriented__raman_data_processed__27322,mineral
barringerite,mineral
bartelkeite,mineral
bartelkeite__r070114__raman__532__0__unoriented__raman_data_processed__18993,mineral
bartelkeite__r070114__raman__785__0__unoriented__raman_data_processed__18991,mineral
barylite,mineral
barylite__r060606__raman__780__0__unoriented__raman_data_processed__36965,mineral
barylite__r060620__raman__532__0__unoriented__raman_data_processed__36470,mineral
barylite__r060620__raman__780__0__unoriented__raman_data_processed__36472,mineral
barysilite,mineral
barysilite__r050002-1__infrared__infrared_data_processed__221,mineral
barysilite__r050002__raman__514__0__unoriented__raman_data_processed__9835,mineral
barysilite__r050002__raman__532__0__unoriented__raman_data_processed__20997,mineral
barysilite__r050002__raman__785__0__unoriented__raman_data_processed__20999,mineral
barysilite__r070651__raman__532__0__unoriented__raman_data_processed__28571,mineral
barysilite__r100057__raman__532__0__unoriented__raman_data_processed__33815,mineral
barysilite__r100057__raman__780__0__unoriented__raman_data_processed__33817,mineral
baryte,mineral
baryte__r040036-1__infrared__infrared_data_processed__220,mineral
baryte__r040036__raman__514__0__unoriented__raman_data_processed__9320,mineral
baryte__r040036__raman__780__0__unoriented__raman_data_processed__26357,mineral
baryte__r050335-1__infrared__infrared_data_processed__610,mineral
baryte__r050335__raman__514__0__unoriented__raman_data_processed__10782,mineral
baryte__r050335__raman__532__0__unoriented__raman_data_processed__29028,mineral
baryte__r050335__raman__780__0__unoriented__raman_data_processed__29030,mineral
baryte__r050342-1__infrared__infrared_data_processed__407,mineral
baryte__r050342__raman__514__0__unoriented__raman_data_processed__10790,mineral
baryte__r050342__raman__532__0__unoriented__raman_data_processed__29139,mineral
baryte__r050342__raman__780__0__unoriented__raman_data_processed__29141,mineral
baryte__r050375-1__infrared__infrared_data_processed__609,mineral
baryte__r050375__raman__532__0__unoriented__raman_data_processed__29655,mineral
baryte__r050375__raman__780__0__unoriented__raman_data_processed__29659,mineral
barytes;,other material
barytocalcite,mineral
barytocalcite__r050288-1__infrared__infrared_data_processed__408,mineral
barytocalcite__r050288__raman__514__0__unoriented__raman_data_processed__10720,mineral
barytocalcite__r050288__raman__532__0__unoriented__raman_data_processed__28631,mineral
barytocalcite__r050288__raman__780__0__unoriented__raman_data_processed__28633,mineral
barytocalcite__r120099__raman__532__0__unoriented__raman_data_processed__36863,mineral
barytocalcite__r120099__raman__780__0__unoriented__raman_data_processed__36865,mineral
barytolamprophyllite,mineral
barytolamprophyllite__r120087__raman__532__0__unoriented__raman_data_processed__36847,mineral
barytolamprophyllite__r120087__raman__780__0__unoriented__raman_data_processed__36849,mineral
basalt (hawaii),mineral
"basalt from chispin, israel",other material
"basalt from qazrin, golan heights",other material
basalt lava (mt etna),mineral
bassetite,mineral
bassetite__r080027__raman__532__0__unoriented__raman_data_processed__26575,mineral
bassetite__r080027__raman__780__0__unoriented__raman_data_processed__26577,mineral
bastnasite-(ce),mineral
bastnasite-(la),mineral
bastnasitece__r050409-1__infrared__infrared_data_processed__611,mineral
bastnasitece__r050409__raman__514__0__unoriented__raman_data_processed__10869,mineral
bastnasitece__r050409__raman__532__0__unoriented__raman_data_processed__23513,mineral
bastnasitece__r060359__raman__514__0__unoriented__raman_data_processed__23537,mineral
bastnasitece__r060359__raman__532__0__unoriented__raman_data_processed__23525,mineral
bastnasitece__r060550__raman__532__0__unoriented__raman_data_processed__10993,mineral
bastnasitece__r060629__raman__532__0__unoriented__raman_data_processed__23521,mineral
bastnasitece__r060737__raman__532__0__unoriented__raman_data_processed__12623,mineral
bastnasitela__r070142__raman__532__0__unoriented__raman_data_processed__19566,mineral
baumhauerite,mineral
baumhauerite2a__r070167__raman__532__0__unoriented__raman_data_processed__18962,mineral
baumhauerite__r050429-1__infrared__infrared_data_processed__612,mineral
baumhauerite__r050429__raman__532__0__unoriented__raman_data_processed__30592,mineral
baumhauerite__r050429__raman__780__0__unoriented__raman_data_processed__30594,mineral
bauxite,mineral
bavenite,mineral
bavenite__r060065__raman__532__0__unoriented__raman_data_processed__27287,mineral
bavenite__r060065__raman__780__0__unoriented__raman_data_processed__27289,mineral
bavenite__r060128__raman__532__0__unoriented__raman_data_processed__33003,mineral
bavenite__r060790__raman__532__0__unoriented__raman_data_processed__30817,mineral
bavenite__r060790__raman__785__0__unoriented__raman_data_processed__30816,mineral
bavsiite,mineral
bavsiite__r150042__raman__532__0__unoriented__raman_data_processed__38812,mineral
bavsiite__r150042__raman__780__0__unoriented__raman_data_processed__38816,mineral
bayldonite,mineral
bayldonite__r050670-1__infrared__infrared_data_processed__876,mineral
bayldonite__r050670__raman__532__0__unoriented__raman_data_processed__32879,mineral
bayldonite__r110033__raman__532__0__unoriented__raman_data_processed__35327,mineral
bayleyite,mineral
bayleyite__r070458__raman__532__0__unoriented__raman_data_processed__26026,mineral
bazhenovite,mineral
bazhenovite__r130224__raman__532__0__unoriented__raman_data_processed__37909,mineral
bazhenovite__r130224__raman__780__0__unoriented__raman_data_processed__37911,mineral
bb-22    (lot #0447496-10),other material
be ca f0.48 h0.52 o4.52 p,mineral
be h2 o2,mineral
be1.694 ca1.9 fe2.449 h2 k0.072 mg2.551 na0.1 o24 pb0.928 si6.306,mineral
be2 ca3 h2 o12 si3,mineral
be3 ca0.36 h7.26 k li1.44 na0.84 o15.01 p3,mineral
be4 ca2 fe0.52 h16 li0.17 mg0.05 mn4.14 o34 p6,mineral
be4 h2 o9 si2,mineral
be5.176 ca0.764 ce0.824 eu0.008 f4 gd0.078 h7.72 la0.236 mg0.012 mn0.485 na3.652 nd0.374 o33.15 pr0.114 si8.824 sm0.08 th0.174 y0.242,mineral
beachcast white foam sheet,other plastic
beaverite-(cu),mineral
beaveritecu__r060400__raman__532__0__unoriented__raman_data_processed__34897,mineral
bees wax,organic matter
"beeswax dark colored (modern, nahef, israel)",other material
"beeswax light colored (nahef, israel)",other material
behierite,mineral
behierite__r060657__raman__532__0__unoriented__raman_data_processed__18422,mineral
behierite__r060657__raman__785__0__unoriented__raman_data_processed__18420,mineral
behoite,mineral
behoite__r060659__raman__532__0__unoriented__raman_data_processed__31303,mineral
behoite__r060659__raman__780__0__unoriented__raman_data_processed__31305,mineral
behoite__r130229__raman__532__0__unoriented__raman_data_processed__38551,mineral
behoite__r130229__raman__780__0__unoriented__raman_data_processed__38553,mineral
behoite__r130230__raman__532__0__unoriented__raman_data_processed__38556,mineral
beidellite,mineral
belendorffite,mineral
belendorffite__r070346__raman__532__0__unoriented__raman_data_processed__21432,mineral
bellbergite,mineral
bellbergite__r100201__raman__532__0__unoriented__raman_data_processed__34958,mineral
bellingerite,mineral
bellingerite__r050607__raman__532__0__unoriented__raman_data_processed__32597,mineral
bellingerite__r050607__raman__780__0__unoriented__raman_data_processed__32599,mineral
belovite-(ce),mineral
belovitece__r070163__raman__532__0__unoriented__raman_data_processed__19562,mineral
benavidesite,mineral
bendadaite,mineral
bendadaite__r080112__raman__532__0__unoriented__raman_data_processed__30120,mineral
benitoite,mineral
benitoite__r050320-1__infrared__infrared_data_processed__613,mineral
benitoite__r050320__raman__514__0__unoriented__raman_data_processed__10770,mineral
benitoite__r050320__raman__532__0__unoriented__raman_data_processed__28869,mineral
benitoite__r050320__raman__780__0__unoriented__raman_data_processed__28871,mineral
benitoite__r050332__raman__514__0__unoriented__raman_data_processed__10941,mineral
benitoite__r050332__raman__532__0__unoriented__raman_data_processed__28958,mineral
benitoite__r050332__raman__780__0__unoriented__raman_data_processed__28960,mineral
benjaminite,mineral
benleonardite,mineral
benstonite,mineral
benstonite__r050484-1__infrared__infrared_data_processed__1166,mineral
benstonite__r050484-1__infrared__infrared_data_processed__929,mineral
benstonite__r050484__raman__532__0__unoriented__raman_data_processed__31630,mineral
benstonite__r050484__raman__780__0__unoriented__raman_data_processed__31632,mineral
bentonite (fischer),other material
benyacarite,mineral
benyacarite__r130130__raman__532__0__unoriented__raman_data_processed__37838,mineral
benyacarite__r130130__raman__780__0__unoriented__raman_data_processed__37840,mineral
benzalkonium chloride,other material
benzamide,other material
benzidine (lot #18c0024),other material
benzocaine (lot #055k0751),other material
benzoic acid,other material
benzoic acid (lot #058k0006),other material
benzophenone,other material
benzoyl fentanyl hcl (lot #n18-p67c),other material
benzoylbenzyl fentanyl hcl (lot #n18-p66a),other material
benzylfentanyl hcl (lot #alb25-6),other material
beraunite,mineral
beraunite__r060464__raman__532__0__unoriented__raman_data_processed__35048,mineral
beraunite__r060464__raman__780__0__unoriented__raman_data_processed__35046,mineral
beraunite__r060696__raman__532__0__unoriented__raman_data_processed__19588,mineral
beraunite__r060696__raman__785__0__unoriented__raman_data_processed__30378,mineral
berberin;,other material
bergslagite,mineral
bergslagite__r060243__raman__532__0__unoriented__raman_data_processed__19255,mineral
berlinerblau - prussian blue,other material
berlinite,mineral
berlinite__r130243__raman__532__0__unoriented__raman_data_processed__38217,mineral
berlinite__r130243__raman__780__0__unoriented__raman_data_processed__38219,mineral
bermanite,mineral
bermanite__r130057__raman__532__0__unoriented__raman_data_processed__37406,mineral
bermanite__r130057__raman__780__0__unoriented__raman_data_processed__37408,mineral
bernstein - amber,other material
berthierine,mineral
berthierine__r110177__raman__532__0__unoriented__raman_data_processed__35982,mineral
berthierine__r110177__raman__780__0__unoriented__raman_data_processed__35980,mineral
berthierite,mineral
berthierite__r070177-1__infrared__infrared_data_processed__1045,mineral
berthierite__r070177__raman__532__0__unoriented__raman_data_processed__18875,mineral
berthierite__r070177__raman__785__0__unoriented__raman_data_processed__27761,mineral
bertossaite,mineral
bertossaite__r060666__raman__532__0__unoriented__raman_data_processed__11332,mineral
bertossaite__r060666__raman__780__0__unoriented__raman_data_processed__38635,mineral
bertrandite,mineral
bertrandite__r060800__raman__532__0__unoriented__raman_data_processed__14645,mineral
bertrandite__r060800__raman__785__0__unoriented__raman_data_processed__12777,mineral
bertrandite__r110025__raman__532__0__unoriented__raman_data_processed__35218,mineral
bertrandite__r110025__raman__780__0__unoriented__raman_data_processed__35216,mineral
beryl,mineral
beryl__r040002-1__infrared__infrared_data_processed__998,mineral
beryl__r040002__raman__514__0__unoriented__raman_data_processed__11155,mineral
beryl__r040002__raman__532__0__unoriented__raman_data_processed__13903,mineral
beryl__r040002__raman__785__0__unoriented__raman_data_processed__13905,mineral
beryl__r050065-1__infrared__infrared_data_processed__1228,mineral
beryl__r050065__raman__532__0__unoriented__raman_data_processed__31387,mineral
beryl__r050065__raman__780__0__unoriented__raman_data_processed__31385,mineral
beryl__r050120-1__infrared__infrared_data_processed__1082,mineral
beryl__r050120-1__infrared__infrared_data_processed__768,mineral
beryl__r050120__raman__514__0__unoriented__raman_data_processed__10112,mineral
beryl__r050120__raman__532__0__unoriented__raman_data_processed__31393,mineral
beryl__r050120__raman__780__0__unoriented__raman_data_processed__31395,mineral
beryl__r050121-1__infrared__infrared_data_processed__1071,mineral
beryl__r050121-1__infrared__infrared_data_processed__769,mineral
beryl__r050121__raman__514__0__unoriented__raman_data_processed__10114,mineral
beryl__r050121__raman__532__0__unoriented__raman_data_processed__31389,mineral
beryl__r050121__raman__780__0__unoriented__raman_data_processed__31391,mineral
beryl__r050305-1__infrared__infrared_data_processed__614,mineral
beryl__r050305__raman__514__0__unoriented__raman_data_processed__10746,mineral
beryl__r050305__raman__532__0__unoriented__raman_data_processed__28756,mineral
beryl__r050305__raman__780__0__unoriented__raman_data_processed__28758,mineral
beryl__r050347-1__infrared__infrared_data_processed__413,mineral
beryl__r050347__raman__532__0__unoriented__raman_data_processed__29192,mineral
beryl__r050347__raman__780__0__unoriented__raman_data_processed__29194,mineral
beryl__r050368-1__infrared__infrared_data_processed__414,mineral
beryl__r050368__raman__532__0__unoriented__raman_data_processed__29583,mineral
beryl__r050368__raman__780__0__unoriented__raman_data_processed__29585,mineral
beryl__r060942__raman__532__0__unoriented__raman_data_processed__31383,mineral
beryl__r060943__raman__532__0__unoriented__raman_data_processed__13352,mineral
beryl__r060944__raman__532__0__unoriented__raman_data_processed__13320,mineral
beryl__r110100__raman__532__0__unoriented__raman_data_processed__35873,mineral
beryl__r110100__raman__780__0__unoriented__raman_data_processed__35875,mineral
beryl__r110113__raman__532__0__unoriented__raman_data_processed__36277,mineral
beryl__r110115__raman__532__0__unoriented__raman_data_processed__35592,mineral
beryl__r110118__raman__532__0__unoriented__raman_data_processed__35586,mineral
beryl__r110118__raman__780__0__unoriented__raman_data_processed__35584,mineral
beryl__x080008__raman__532__0__unoriented__raman_data_processed__31399,mineral
beryl__x080009__raman__532__0__unoriented__raman_data_processed__31403,mineral
beryl__x080010__raman__532__0__unoriented__raman_data_processed__31409,mineral
beryllonite,mineral
beryllonite__r060299__raman__532__0__unoriented__raman_data_processed__31494,mineral
beryllonite__r060299__raman__780__0__unoriented__raman_data_processed__31492,mineral
beryllonite__r060552__raman__532__0__unoriented__raman_data_processed__31488,mineral
beryllonite__r060552__raman__780__0__unoriented__raman_data_processed__31490,mineral
beryllonite__r070249-1__infrared__infrared_data_processed__986,mineral
beryllonite__r070249__raman__532__0__unoriented__raman_data_processed__25714,mineral
beryllonite__r070249__raman__785__0__unoriented__raman_data_processed__25713,mineral
beryllonite__r100219__raman__532__0__unoriented__raman_data_processed__35152,mineral
beryllonite__r100219__raman__780__0__unoriented__raman_data_processed__35150,mineral
berzelianite,mineral
berzelianite__r110159__raman__532__0__unoriented__raman_data_processed__36684,mineral
berzeliite,mineral
berzeliite__r061084__raman__532__0__unoriented__raman_data_processed__16057,mineral
beta'-phenyl fentanyl (lot #0519541-4),other material
beta-carotene,other material
beta-estradiol,other material
beta-hydroxy fentanyl hcl (lot #0494095-19),other material
beta-hydroxythiofentanyl hcl  (lot #rm-160417-01),other material
beta-naphyrone hcl (lot #2011dea003-24a),other material
beta_propylene_glycol_scharlau,other material
betafergusonitece__r070225__raman__532__0__unoriented__raman_data_processed__25614,mineral
betafergusonitece__r080102__raman__532__0__unoriented__raman_data_processed__30628,mineral
betafergusonitey__r070600__raman__532__0__unoriented__raman_data_processed__28347,mineral
betafergusonitey__r080103__raman__532__0__unoriented__raman_data_processed__30632,mineral
betaroselite__r060830__raman__532__0__unoriented__raman_data_processed__12873,mineral
betekhtinite,mineral
betekhtinite__r070087-1__infrared__infrared_data_processed__1053,mineral
betpakdalite-camg,mineral
betpakdalitecamg__r060242__raman__532__0__unoriented__raman_data_processed__33489,mineral
betpakdalitecamg__r060242__raman__780__0__unoriented__raman_data_processed__33491,mineral
beudantite,mineral
beudantite__r060985__raman__532__0__unoriented__raman_data_processed__13345,mineral
beudantite__r060985__raman__785__0__unoriented__raman_data_processed__19665,mineral
beudantite__r070189__raman__532__0__unoriented__raman_data_processed__25597,mineral
beudantite__r070189__raman__785__0__unoriented__raman_data_processed__25596,mineral
beudantite__r070190__raman__532__0__unoriented__raman_data_processed__19813,mineral
beudantite__r070190__raman__785__0__unoriented__raman_data_processed__19815,mineral
beudantite__r070502__raman__532__0__unoriented__raman_data_processed__22307,mineral
beva371_in_pe,poly(ethylene)
bi fe h o7 p pb,mineral
bi h3 mo2.102 o9,mineral
bi n3 o9,mineral
bi o4 v,mineral
bi12 cr4 h6 o33,mineral
bi13.604 cu0.842 fe0.45 pb7.25 s28,mineral
bi2 cu h o7 v,mineral
bi2 o3,mineral
bianchite,mineral
bianchite__r070020__raman__532__0__unoriented__raman_data_processed__16888,mineral
bicchulite__r080049__raman__532__0__unoriented__raman_data_processed__27378,mineral
bicine,other material
bieberite,mineral
bieberite__r070595__raman__532__0__unoriented__raman_data_processed__23163,mineral
bienenwachs - bees wax,organic matter
bigcreekite,mineral
bigcreekite__r060432__raman__532__0__unoriented__raman_data_processed__23361,mineral
bigcreekite__r060432__raman__780__0__unoriented__raman_data_processed__30360,mineral
bikitaite,mineral
bikitaite__r050160-1__infrared__infrared_data_processed__1120,mineral
bikitaite__r050160-1__infrared__infrared_data_processed__883,mineral
bikitaite__r050160__raman__514__0__unoriented__raman_data_processed__10913,mineral
bikitaite__r050160__raman__532__0__unoriented__raman_data_processed__27691,mineral
bikitaite__r050160__raman__780__0__unoriented__raman_data_processed__27689,mineral
bikitaite__r060032-1__infrared__infrared_data_processed__1211,mineral
bikitaite__r060032__raman__532__0__unoriented__raman_data_processed__26833,mineral
bikitaite__r060032__raman__780__0__unoriented__raman_data_processed__26831,mineral
bilinite,mineral
billietite,mineral
billietite__r070588__raman__532__0__unoriented__raman_data_processed__23127,mineral
billietite__r070588__raman__780__0__unoriented__raman_data_processed__23129,mineral
billietite__r070624__raman__532__0__unoriented__raman_data_processed__28856,mineral
billietite__r070624__raman__780__0__unoriented__raman_data_processed__28796,mineral
billingsleyite,mineral
bindheimite,mineral
"bindheimite, olsa, carinthia, austria.",other material
bindheimite__r050546-1__infrared__infrared_data_processed__615,mineral
bindheimite__r050546__raman__532__0__unoriented__raman_data_processed__32269,mineral
bindheimite__r050546__raman__780__0__unoriented__raman_data_processed__32364,mineral
biotin,other material
biotite,mineral
biotite granite-ward's-45-f-3100-7-kbr,mineral
biphosphammite,mineral
biphosphammite__r070206__raman__532__0__unoriented__raman_data_processed__19335,mineral
biphosphammite__r070206__raman__785__0__unoriented__raman_data_processed__19333,mineral
birchite,mineral
birchite__r150100__raman__532__0__unoriented__raman_data_processed__39011,mineral
"birnessite (zacatacas, mexico; nhmohbm 1962 97)",other material
birnessite__r060918__raman__532__0__unoriented__raman_data_processed__15948,mineral
bisbeeite,mineral
bisbeeite__r060317__raman__532__0__unoriented__raman_data_processed__34085,mineral
bismite,mineral
bismite__r070185__raman__532__0__unoriented__raman_data_processed__25587,mineral
bismite__r070185__raman__785__0__unoriented__raman_data_processed__25586,mineral
bismoclite__r100197__raman__532__0__unoriented__raman_data_processed__34917,mineral
bismuth,mineral
bismuth__r050650-1__infrared__infrared_data_processed__616,mineral
bismuth__r050650__raman__532__0__unoriented__raman_data_processed__32750,mineral
bismuthinite,mineral
bismuthinite__r061077__raman__532__0__unoriented__raman_data_processed__26283,mineral
bismuthinite__r061077__raman__785__0__unoriented__raman_data_processed__26282,mineral
bismuthinite__r070533__raman__532__0__unoriented__raman_data_processed__22616,mineral
bismutite,mineral
bismutite__r050634__raman__532__0__unoriented__raman_data_processed__24463,mineral
bismutite__r060665__raman__532__0__unoriented__raman_data_processed__11330,mineral
bismutite__r060665__raman__780__0__unoriented__raman_data_processed__38633,mineral
bismutotantalite,mineral
bisphenol a,other material
bisphenol a diglycidyl ether,bisphenol-a diglycidyl ether epoxy resin
bitumen (iraq 9053; nissenbaum),other material
bitumen (oman 1927; nissenbaum),other material
bitumen z0098_532,other material
bixbyite,mineral
bixbyite__r050395-1__infrared__infrared_data_processed__617,mineral
bjarebyite,mineral
bjarebyite__r130106__raman__532__0__unoriented__raman_data_processed__37562,mineral
bjarebyite__r130106__raman__780__0__unoriented__raman_data_processed__37564,mineral
bjarebyite__r130107__raman__532__0__unoriented__raman_data_processed__37554,mineral
bjarebyite__r130107__raman__780__0__unoriented__raman_data_processed__37783,mineral
bk-dmbdb hcl (lot #0432924-23),other material
bk-mddma hcl (lot #0432923-23),other material
black bike handle cover foam,other plastic
black broodcomb,organic matter
black_broodcomb,organic matter
blatonite__r060594__raman__532__0__unoriented__raman_data_processed__11161,mineral
blixite,mineral
blixite__r070364__raman__532__0__unoriented__raman_data_processed__21306,mineral
blixite__r070364__raman__785__0__unoriented__raman_data_processed__21308,mineral
blodite,mineral
blodite__r050317-9__infrared__infrared_data_processed__418,mineral
blodite__r050317__raman__514__0__unoriented__raman_data_processed__10766,mineral
blodite__r050317__raman__532__0__unoriented__raman_data_processed__28791,mineral
blodite__r050341-1__infrared__infrared_data_processed__419,mineral
blodite__r050341__raman__514__0__unoriented__raman_data_processed__10788,mineral
blodite__r050341__raman__532__0__unoriented__raman_data_processed__29134,mineral
blodite__r050341__raman__780__0__unoriented__raman_data_processed__29136,mineral
blue bice10184_532,other material
blue fragment,other material
bobdownsite,mineral
bobdownsite__r050109-1__infrared__infrared_data_processed__1066,mineral
bobdownsite__r050109-1__infrared__infrared_data_processed__770,mineral
