Date,Costs ($),Description,Payer,Receipt Link
,~30/month,AWS Virtual Computer,Win Cowger,https://drive.google.com/drive/folders/143BlSgT9CxHgq_HjXy_qHffk9Nn2jo50?usp=sharing
6/11/2020,432.37,Shiny.io hosting fees,Win Cowger,https://drive.google.com/drive/folders/143BlSgT9CxHgq_HjXy_qHffk9Nn2jo50?usp=sharing
10/12/2019,195.47,Attendance at SciX conference,UC Riverside,https://drive.google.com/drive/folders/143BlSgT9CxHgq_HjXy_qHffk9Nn2jo50?usp=sharing
6/24/2019,800,Web development intern,UC Riverside,https://drive.google.com/drive/folders/143BlSgT9CxHgq_HjXy_qHffk9Nn2jo50?usp=sharing
11/13/2019,24,domain registration,UC Riverside,https://drive.google.com/drive/folders/143BlSgT9CxHgq_HjXy_qHffk9Nn2jo50?usp=sharing
